alpha,x,y
0,0,1
0.01,0.044843334,0.995389716
0.02,0.079715436,0.99073824
0.03,0.110841781,0.986044942
0.04,0.139545598,0.981309177
0.05,0.166455287,0.976530286
0.06,0.191940932,0.971707595
0.07,0.216247046,0.966840411
0.08,0.239547387,0.961928029
0.09,0.261971858,0.956969721
0.1,0.283621267,0.951964748
0.11,0.304576132,0.946912347
0.12,0.32490225,0.941811738
0.13,0.344654394,0.936662123
0.14,0.363878874,0.931462682
0.15,0.382615352,0.926212572
0.16,0.40089818,0.920910933
0.17,0.418757398,0.915556877
0.18,0.436219496,0.910149498
0.19,0.453308005,0.90468786
0.2,0.470043972,0.899171005
0.21,0.486446325,0.89359795
0.22,0.502532182,0.88796768
0.23,0.518317096,0.882279156
0.24,0.53381526,0.876531309
0.25,0.549039678,0.870723036
0.26,0.564002305,0.864853205
0.27,0.578714173,0.85892065
0.28,0.593185488,0.852924171
0.29,0.607425723,0.846862531
0.3,0.621443693,0.840734455
0.31,0.63524762,0.83453863
0.32,0.64884519,0.828273699
0.33,0.662243605,0.821938266
0.34,0.675449625,0.815530887
0.35,0.688469611,0.809050073
0.36,0.701309554,0.802494285
0.37,0.713975109,0.795861932
0.38,0.726471621,0.789151369
0.39,0.738804153,0.782360895
0.4,0.7509775,0.77548875
0.41,0.76299622,0.76853311
0.42,0.77486464,0.761492087
0.43,0.786586881,0.754363721
0.44,0.798166869,0.747145982
0.45,0.809608348,0.739836763
0.46,0.820914893,0.732433873
0.47,0.83208992,0.724935038
0.48,0.8431367,0.717337894
0.49,0.854058361,0.709639979
0.5,0.864857905,0.701838731
0.51,0.875538207,0.693931479
0.52,0.886102032,0.685915439
0.53,0.896552032,0.677787705
0.54,0.906890759,0.669545242
0.55,0.917120668,0.661184877
0.56,0.927244122,0.65270329
0.57,0.937263398,0.644097002
0.58,0.947180692,0.635362369
0.59,0.95699812,0.626495565
0.6,0.966717726,0.617492568
0.61,0.976341485,0.608349153
0.62,0.985871303,0.599060865
0.63,0.995309024,0.589623012
0.64,1.004656433,0.580030636
0.65,1.013915254,0.570278497
0.66,1.023087161,0.560361047
0.67,1.032173771,0.550272401
0.68,1.041176655,0.540006309
0.69,1.050097333,0.52955612
0.7,1.058937282,0.518914743
0.71,1.067697935,0.508074603
0.72,1.076380681,0.497027592
0.73,1.084986871,0.485765009
0.74,1.093517818,0.474277497
0.75,1.101974796,0.462554965
0.76,1.110359045,0.4505865
0.77,1.118671773,0.438360266
0.78,1.126914151,0.425863379
0.79,1.135087322,0.413081767
0.8,1.143192398,0.4
0.81,1.151230462,0.386601085
0.82,1.159202569,0.372866216
0.83,1.167109746,0.358774476
0.84,1.174952997,0.34430246
0.85,1.182733298,0.329423807
0.86,1.190451603,0.314108608
0.87,1.198108841,0.298322643
0.88,1.20570592,0.282026383
0.89,1.213243725,0.265173653
0.9,1.220723122,0.247709816
0.91,1.228144954,0.229569211
0.92,1.235510048,0.210671462
0.93,1.24281921,0.190915897
0.94,1.250073226,0.17017276
0.95,1.257272869,0.148268433
0.96,1.264418889,0.12495855
0.97,1.271512025,0.099873172
0.98,1.278552997,0.072384047
0.99,1.285542508,0.041168098
1,1.29248125,0
